ID,Name,Location,YearofDeath,State,CaseAbstract
1085,Will,Earle - Crittenden County - Arkansas,1936,Arkansas,"Will, last name unknown, a sharecropper, may have been killed in 1936 by a mob of white planters in Crittenden County, Arkansas. Frank Weems, a Black 56-year-old former tenant farmer, was a member of the Southern Tenant Farmers’ Union. According to his affidavit, Weems had witnessed a gang of white planters armed with guns and clubs violently invade a Union meeting. A month later, Union members marching from Earle to New Earle, Arkansas, attempted to scatter based on warnings of impending attacks by the planters. Some marchers were intercepted by five cars full of white planters armed with guns and clubs, who proceeded to beat them. Among the planters were Old Man Bam, Birdie Decker, Floyd Roberts, Percy Mangus, Tom Thomas, Clifford Thorgmartin, Boss Delaine, “Bedford,” and Jerome Hood. Weems believed that Will was beaten to death by the planters. 
"
433,Henry Bailey,Arkadelphia - Clark County - Arkansas,1945,Arkansas,"Herman Wilson (1913 - 1945), a truck driver, was found dead alongside another man named Henry Bailey in the county jail in Clark County, Arkansas in December 1945. Sheriff W. T. Matlock found Wilson and Bailey dead in their cells when he went to serve breakfast. It was said the men either froze to death or died from toxic fumes at the jail. The coroner ruled their deaths to be due to natural causes, claiming that Bailey died of a heart attack and Wilson of alcoholism.

Henry Bailey (1922 – 1945), a public worker, was found dead alongside another man named Herman Wilson in the county jail in Clark County, Arkansas in December 1945. Sheriff W. T. Matlock found Bailey and Wilson dead in their cells when he went to serve breakfast. It was said the men either froze to death or died from toxic fumes at the jail. The coroner ruled their deaths to be due to natural causes, claiming that Bailey died of a heart attack and Wilson of alcoholism.
"
492,Isadore Banks,Marion - Crittenden County - Arkansas,1954,Arkansas,"Isadore Banks (1895 – 1954), a farm owner and veteran, was killed by unknown person(s) in Crittenden County, Arkansas.  According to his wife, Banks, who had a significant amount of property and a business in the area, went to pay some of his employees and never returned home. Banks’ body was found with a gunshot wound, burned and chained to a tree. A set of keys, some change and an empty fuel can were found near the body. There were several theories at the time as to why Banks was murdered but no subject was ever identified. An essay on this case, researched and authored by a CRRJ student, is available on request.
"
34,Alice Brown,Winchester - Drew County - Arkansas,1947,Arkansas,"Alice Brown (1890 - 1947), a domestic worker, was killed by Sadie Tullous in Desha County, Arkansas. Alice's husband, Will Brown, in a letter to the NAACP, wrote that while he and his wife were working in a field, Tullous, a white woman, came out and fatally shot Alice Brown. Tullous does not appear to have been prosecuted for the killing.
"
1131,Willie Burns,Lucerne - Saint Francis - Arkansas,1932,Arkansas,"Willie Burns was killed in 1932 by Jewett Powell, Henry Byrum, and James Harris, members of a 100-man posse led by sheriff Joe Campbell and deputy sheriff J.E. Campbell, in St. Francis County, Arkansas. Burns was under arrest in a police car for threatening to kill his wife Mary Burns when he allegedly grabbed a gun and killed deputy sheriff James Ray Carlton and wounded deputy sheriff C.B. Walker. Burns then allegedly returned to his home where he shot and killed Mary. The posse was formed, which tracked him down and killed him. 
"
1132,Willie Butler,Brickeys - Lee County - Arkansas,1948,Arkansas,"Willie Butler (1926-1948), a tractor driver, was killed in Brickeys, Lee County, Arkansas. Butler’s mother contacted the NAACP that her son had been killed by one “Mr. Warker.”
"
1097,William Clark,Jennie - Chicot County - Arkansas,1946,Arkansas,"William Clark (1891-1946), died in Jennie, Chicot County, Arkansas. Death certificate states the cause of death was tetanus caused by a thorn puncture. A letter from the NAACP to the Department of Justice is to the effect that Clark had been working on the C.H. Holtoff plantation when he disappeared. Clark’s family was told by sheriff Butcher that Clark had been sent to Gennins county prison farm. When family members went to the prison farm, they were told by some of the prisoners that Clark had died of severe beatings and was buried on the prison farm.
"
461,Herman Clay,Blytheville - Mississippi County - Arkansas,1944,Arkansas,"Herman Clay, age, was killed circa 1944 in jail in Blytheville, Mississippi County, Arkansas. According to a letter to the NAACP from Roselee Clay, the victim’s mother, Herman Clay was in jail on a charge of theft and was killed by jail officials. 
"
1012,Theodore Roosevelt Curry,North Little Rock - Pulaski County - Arkansas,1948,Arkansas,"Theodore Roosevelt Curry, age 26, a laborer, was killed in 1948 by police detective sergeant Dennis Jones in Little Rock, Pulaski County, Arkansas. According to police, Jones and officer Jack Morgan were on a routine night patrol when they saw two “negro” men on a corner, one of whom was “acting suspicious” and apparently drinking. The officers stopped and called the men to their car. Morgan warned that one of them (Curry, apparently) had a gun. Curry fled. The police gave chase, and Jones fatally shot Curry. The officers claimed that they subsequently found Curry’s sawed-off shotgun nearby. Prosecutor Edwin Dunaway declined to prosecute the officers.
"
863,Ralph Donaldson,Jonesboro - Craighead County - Arkansas,1947,Arkansas,"Ralph Donaldson (1920 - 1947), a truck driver, was killed by Walter Montague, his employer, in Craighead County, Arkansas. Montague was reportedly distressed by statements Donaldson made accusing his sister, Gladys Montague, of having a relationship with a man not her husband. Donaldson allegedly admitted to spreading the rumor, whereupon Montague shot him.  When the police arrived and asked Montague if he “killed the Negro” Montague said “I hope so.” Walter Montague was convicted of second degree murder and sentenced to 21 years. Gladys Montague and her brother Byrnis Montague were also charged with Donaldson’s murder. Outcome of the charges against Byrnis and Gladys unknown.
"
