ID,Name,Location,YearofDeath,State,CaseAbstract
987,Solomon Perry Banks,Emporia - Greensville County - Virginia,1948,Virginia,"Solomon Perry Banks (1925-1948), a lumber worker, was mortally wounded by police officer Joe Ben Bradley in Emporia, Greensville County, Virginia, and died in Roanoke Rapids, Halifax, North Carolina. Believing that Banks was driving a car that fit the description of a stolen car, police arrested Banks and fired when he allegedly tried to flee. Officer Bradley fatally shot Banks, according to Department of Justice files.
"
898,Robert Austin Bradby,Roxbury - Charles City County - Virginia,1949,Virginia,"Robert Austin Bradby (1925-1949), a laborer, was killed by alcohol beverage control inspector Frank M. Wood in either Richmond, Henrico County, Virginia, or Roxbury, Charles City County, Virginia (death certificate is illegible). According to Department of Justice files, Wood was illegally raiding a still when he fatally shot Bradby. Wood was cleared of charges in court.
"
956,Russell R. Bundy,Alexandria - Virginia,1952,Virginia,"Russell R. Bundy (1917-1952), a Sylvania plant operator, was killed by Eleanor Wellborn in Alexandria, Fairfax County, Virginia. Bundy was allegedly having an affair with two white women—Wellborn and Mary M. Purks. The three were in a car together when Wellborn fatally shot him. Wellborn was charged with first degree murder. Trial jury convicted of involuntary manslaughter.
"
357,Gene Burris,Orange County - Virginia,1943,Virginia,"Gene Burris, 26, a laborer in a zinc mine, was killed in 1943 by Robert Amos, in Orange County, Virginia. Amos shot Burris after an argument. A trial jury acquitted.
"
222,Tom Denson,Pittsylvania County - Virginia,1941,Virginia,"Tom Denson (1890 - 1941), a farmer, was killed by Robert G. Siddle, a farm owner, in Danville, Virginia. Denson, a tenant, had been ordered to leave Siddle's property after he allegedly cursed Siddle’s wife when she tried to stop him from digging potatoes. Later, when Denson came to Siddle’s house, Siddle shot Denson, killing him.
"
233,Earl Randolf French,Dublin - Pulaski County - Virginia,1939,Virginia,"Earl Randolf French, 36, a laborer, was killed by police officer Tyler Allison in 1939 in Pulaski County, Virginia. Allison arrested French on a charge of drunkenness. He beat French with a black jack, handcuffed and put him into a car to be taken to jail. While on their way, Allison shot French five times and left him out on the roadside, alleging self-defense. Allison was charged with homicide. 
"
1218,Paul Graves,Pittsylvania County - Virginia,1938,Virginia,"Paul Graves, approximately 38 years old, died in 1938 in Virginia. A letter from Graves’s brother to the NAACP says that Graves’s body was found on railroad tracks between Danville and Lynchburg, Virginia. The letter refers to newspaper accounts reporting that Graves was murdered on the train and his body thrown to the tracks.
"
131,Chas Washington F. Haliburton,Lexington - Virginia,1934,Virginia,"Charles Washington F. Haliburton (1913-1934), a waiter, died in Rockbridge County, Virginia. Haliburton’s body was found on a highway between Lexington and Buena Vista, Virginia. Death certificate says “sudden death from crushing of skull, cause not yet determined.”"
1373,Joe Hodnett,Chatham - Pittsylvania County - Virginia,1938,Virginia,"Joe Hodnett, age 24, a laborer, was killed in 1938 by state police officer George Moore in Danville, Pittsylvania County, Virginia. Hodnett was accused of stealing automobile licenses and an automobile trailer. When Moore, along with Sheriff Overby, Deputy Sheriff Simpson, and an unnamed constable, tried to arrest Hoddnett, Hodnett tried to flee. Moore and Simpson fired. Judge Bennett dismissed charges against Simpson. It appears that a grand jury declined to indict Moore.
"
825,Noah Huff,Floyd County - Virginia,1933,Virginia,"Noah Huff, 42, a laborer, was killed in 1933 by Milton Sweeney, a white farmer, in Floyd County, Virginia. Sweeney shot Huff, alleging self-defense. Witnesses stated that Sweeney shot Huff after he refused to carry Sweeney on his back across a pond for the second time. Grand jury indicted. Trial jury acquitted. 
"
1390,Willie Hyter,Newport News - Virginia,1938,Virginia,"Willie Hyter (1891-1938), a stevedore and veteran, died in Kecoughtan, Elizabeth City County, Virginia. Hyter was a resident in a segregated section of a Veterans Administration facility, which was alleged to have a history of discrimination and brutality against its Black patients. The NAACP complained that Hyter died from injuries incurred after being beaten three nights in a row by an attendant. The VA claimed that Hyter’s complaints of abuse were the result of his psychosis, and that he died of an old syphilitic ulcer of the bladder.
"
1075,Weaver Johnson,Somerset - Orange County - Virginia,1942,Virginia,"Weaver Johnson (1903 - 1942), a farmer, was killed by George Battle in Orange County, Virginia. Battle shot Johnson in a store, alleging self-defense and claiming that prior to the shooting, Johnson called him a vile name and reached into his pocket as if to pull out a knife. Trial jury acquitted.
"
