ID,Name,Location,YearofDeath,State,CaseAbstract
853,Pinkie,Glover - Clarke County - Alabama,1945,Alabama,"An elderly Black woman known as Pinkie was killed in 1945 by Hubert Brozer and other white men in Clarke County, Alabama. An anonymous white man reported to the FBI that Pinkie had recently received some money and that Brozer forced a Black man named Tommie Jackson to kidnap her away in a truck. Brozer and several other white men took Pinkie’s money, killed her and dropped her in a well.
"
102,Buck Aaron,Bessemer - Jefferson County - Alabama,1950,Alabama,"Buck Aaron (1907?-1950), coal miner, was killed by police officer Francis Morrison on January 22, 1950, in Jefferson County, Alabama. The police department claimed that Morrison tried to arrest Aaron on a charge of “making trouble,” and when Aaron resisted arrest, Morrison shot and killed him.
"
1547,Leslie Anderson,Birmingham - Jefferson County - Alabama,1946,Alabama,"Leslie Anderson (1911?-1946) was killed by police officer Roy Massey in Birmingham, Alabama. Massey and officers C.F. Batchelder and Jamie Moore responded to a report of a burglary at a grocery store, and Massey shot Anderson at the scene, possibly as Anderson tried to flee.
"
899,Robert Barton,Cherokee - Colbert County - Alabama,1931,Alabama,"Robert Barton, 53, a farmer, was killed in 1931 in Cherokee County, Alabama. Barton was shot and killed while plowing his land. The white assailant was arrested, but, so far as can be determined, there were no further legal proceedings.
"
1556,Robert Beard,Birmingham - Jefferson County - Alabama,1947,Alabama,"Robert Beard, age 32, was killed in 1947 in Birmingham, Alabama by police officer C.L. Tucker.  Tucker stopped Beard in connection with a burglary investigation.  The shooting was ruled a justifiable homicide.
"
293,Ennis Bell,Mobile - Mobile County - Alabama,1943,Alabama,"Ennis Bell (1918 - 1943), a truck driver, was killed by Detectives Paul Buck and Edwin Tuthill in Mobile County, Alabama. The detectives said they shot Bell when he refused to halt when ordered to do so. Bell had been arrested on a charge of stealing potatoes and eggs from a grocery truck and had escaped from the city jail as officers were preparing to transfer him to the county jail. He had gone home, where he was found by Buck and Tuthill. 
"
181,Collin Bendolph,Mobile - Mobile County - Alabama,1950,Alabama,"Collin Bendolph, 27, longshoreman, was killed in 1950 by patrolman Joseph Wade in Mobile, Alabama. Wade and patrolman Charles Boyes were investigating a report of a fight, and claimed that Wade shot Bendolph after Bendolph threatened them with a knife. Differing accounts allege that Bendolph was speaking to his wife in the doorway of his home, and that Wade shot him as the officers ordered him to drop a knife.
"
795,Milo Bentley,Reeltown - Tallapoosa County - Alabama,1932,Alabama,"Clifford James, 46, a farmer and leader in the Sharecroppers Union, was killed in 1932 by a “posse” convened by Sheriff Elder in Tallapoosa County, Alabama. Jeans owed W.S. Parker interest on the farm mortgage and was unable to pay. Parker sought a legal attachment on Jeans’s livestock, and when Sheriff Elder came to execute it, Jeans pleaded with Elder not to take his livestock. Elder left and returned with a posse, which opened fire on Jeans and several other sharecroppers. Jeans and at least three other sharecroppers died of their wounds.

Milo Bentley, 45,  a sharecropper active in the Sharecroppers Union, was killed in 1932 by a posse led by Sheriffs T. A. Riley and J. Kyle Young in Tallapoosa County, Alabama. It was alleged that Bentley and several other sharecroppers were “communist sympathizers.” They were arrested, allegedly in connection with a gun fight during which four officers were wounded and a Black person killed. Sheriff Riley claimed Bentley had resisted arrest and that “it was necessary to shoot him” – five times. Bentley died as a result of infected wounds and traumatic pneumonia after being denied medical treatment in jail.

Jim McMullin, 45, a farmer, was killed in 1932 by Deputy Sheriff Clifford Elder, Chief Deputy Dowdle Ware, and former sheriff J.M. Gantt and J. H “Stool” Alford in Tallapoosa County, Alabama. The officers tried to repossess livestock from Clifford James, who was a leader of the Sharecroppers Union. James refused to surrender the livestock. When Elder returned with a warrant, a group of sharecroppers, including McMullin, had gathered at James’s property. McMullin was shot and killed during a gunfight that ensued between the officers and the group.

Ivy Moss, a sharecropper, was killed in 1932.  A sharecropper active in the Sharecroppers Union,  Moss was arrested by a sheriff’s posse headed by Sheriff T. A. Riley in 1932 in Montgomery, Alabama. Moss was held in Montgomery County jail in connection with a gun fight near Reeltown, Alabama, during which four officers were wounded and a Black person was killed. 
"
1519,Henry Berry,Birmingham - Jefferson County - Alabama,1953,Alabama,"Henry Berry, age 68, a pastor, was killed by police officers Fred Brockman and C.E. Pyle in Birmingham, Alabama in 1953. Brockman and Pyle stopped Berry at a trolley stop on a complaint that he had robbed a fruit stand operator of about $13.00.  Berry, who was dressed in a suit and hat at the time of the incident, shot Brockman and the officers fired back, killing Berry.  Brockman also died."
744,Lorenza Best,Anniston - Calhoun County - Alabama,1950,Alabama,"Lorenza Best (1914 – 1950), employed at the Southern Pipe & Supply Shop and a WWII veteran, was killed by police officer J. D. Thomas in Anniston, Calhoun County, Alabama. Police officers claimed that Best advanced on them with a knife. The police shot him in the chest four times. Calhoun County Sheriff A. A. Pate, who acted as a coroner, returned a finding of justifiable homicide.
"
512,Jack Bloodworth,Docena - Jefferson County - Alabama,1942,Alabama,"Jack Bloodworth (1906 - 1942), a coal miner, was killed by Deputy Herbert Gray in Jefferson County, Alabama. On Bloodworth’s last day of work before he was to be inducted into the armed services, he went to the company to get his final pay. Timekeeper N. M. Hood accused Bloodworth of refusing to return his badge to the company and deducted fifty cents from his pay. Bloodworth protested, whereupon Hood called company police officers Herb Gray and H. Mizelle. Gray shot and killed Bloodworth. Five hundred miners staged a wildcat strike in protest. A coroner returned a finding of justifiable homicide.
"
684,L. R. Boaz,Birmingham - Jefferson County - Alabama,1931,Alabama,"Professor Lonnie Roy “LR” Boaz , thirty-two years old, a football coach and instructor in tailoring at Alabama A&M college, was killed in 1931 in Birmingham, Alabama. According to some accounts, a white truck driver for the Woods Chevrolet Co. accidentally hit the Boaz vehicle, whose other passenger was head coach at A& M, one B.C. Green. While the two parties were discussing the matter on the road and seeking to settle it, a third car with five white men pulled up. After listening to the settlement negotiations, one of the men said words to the effect that “this is a white man country, you can’t talk to a white man like that.” Another man struck Boaz on the jaw and the others beat him until he became unconscious. Also beaten was Green.  Hillman Hospital refused to admit Boaz.  He succumbed to his injuries.
"
289,Elmore Bolling,Lowndesboro - Lowndes County - Alabama,1947,Alabama,"Elmore Bolling, 39, a successful landowner and businessman from Lowndesboro, Lowndes County, Alabama was killed in 1947 by Clarke Luckie. Luckie, a business competitor, claimed that the victim had insulted his wife. 
"
1562,Rufus Bowen,Birmingham - Jefferson County - Alabama,1951,Alabama,"Rufus Bowen (or Brown), 27, a café worker, was shot and killed in 1951 by officer H.B. George in Birmingham, Alabama.  It was alleged that Bowen was “loitering” and “creating a disturbance” at a café in a Black neighborhood.  Bowen worked at the café but was off-duty at the time of the incident.
"
261,Edward Bracey,Hope Hull - Montgomery County - Alabama,1935,Alabama,"Edward Bracey, a farmer, was killed in 1935 by a mob in Hope Hull, Montgomery County, Alabama.* During a cotton pickers’ strike, a gang of landlords and vigilantes opened fire on Bracey’s house. Bracey was killed as he tried to escape out the back door.
"
467,Hilliard Brooks,Montgomery - Montgomery County - Alabama,1950,Alabama,"Hilliard Brooks, 22, a WWII veteran, was killed in 1950 by police officer M. E. Mills in Montgomery, Alabama. Brooks had boarded a city bus and the driver, angered because Brooks refused to re-enter in the rear of the bus after having paid his fare at the front, summoned officer Mills, who was patrolling nearby. Mills shot Brooks, who died a day later from the injury.
"
127,Charles Brown,Montgomery - Montgomery County - Alabama,1942,Alabama,"Charles Brown, 43, a yard worker, was killed in 1957 by Raiford Walton in Benton, Mississippi. Brown was an Air Force airman home on leave and was fatally shot by Walton in Walton’s home.
"
823,Niece Brown,Summerfield - Dallas County - Alabama,1945,Alabama,"Niece Brown (1898 - 1945), a farmer, was killed by police officer George D. Booker in Selma, Alabama. Booker, off duty and intoxicated, came to the Brown house looking for Mrs. Brown’s daughter. When informed him that the young woman was not available, Booker struck Mrs. Brown  several times with a beer bottle. Mr. Brown retrieved a shotgun and shot at Booker. Mrs. Brown died from the injuries 2 days later. Booker was charged with murder. A trial jury acquitted the officer. 
"
995,Stephen Brown,Montgomery - Montgomery County - Alabama,1949,Alabama,"Stephen Brown (1897 - 1949),  a laborer, was killed by police officer J. L. Wilson in Montgomery, Alabama. Officer Wilson and his partner F. R. Knighten were patrolling when they claimed they saw a gun in Brown’s belt and asked him to hand it over. The officers claimed that Brown shot at them, but his gun failed to fire, whereupon they shot and killed Brown..
"
1249,Brown,Anniston - Calhoun County - Alabama,1943,Alabama,"Mr. Brown, age unknown, a U.S. soldier, was killed in 1943 in Alabama. According to a letter by Pvt. Isaac McIntosh of Fort McClellan, Alabama, Brown was threatened with arrest as he got off a train, and the arresting official shot him after Mr. Brown turned over his gun.
"
1520,Henry Brown Jr.,Birmingham - Jefferson County - Alabama,1942,Alabama,"Henry Brown, Jr. (1905-1942), a miner, was shot and killed in 1942 in Birmingham, Alabama by Officer M.A. Jones. According to one version, the officer went to a café on a Sunday evening and shot through a side window, aiming randomly and without provocation  at the nine patrons within.  A grand jury declined to indict Officer Jones.
"
1535,John Brown,Birmingham - Jefferson County - Alabama,1943,Alabama,"John Brown, age 26, was shot to death in Birmingham, Alabama, by local officers.  Involved were officers A.J. Coggins and H.L. Thompson. It was alleged Brown was driving a stolen car.
"
83,Bettie Jean Bunn,Prichard - Mobile County - Alabama,1952,Alabama,"Betty Jean Bunn, age 11, was killed in 1952 in Mobile, Alabama. Her killer(s) is (are) unknown. Bunn was stabbed multiple times while babysitting at her aunt’s house.
"
1511,Ezekiel Burrell,Birmingham - Jefferson County - Alabama,1941,Alabama,"Ezekiel Burrell (or Charlie Kirk) was killed in 1941 in Birmingham, Alabama by police officer James Moore.
"
312,Eugene Burt,Birmingham - Jefferson County - Alabama,1950,Alabama,"Eugene Burt (1904 - 1950), a butler, was killed by police officer J.A. Hale in Birmingham, Alabama. The police said Hale arrived at Burt’s house following a call by a Black woman that Burt had fired at her with a pistol. Hale claimed he broke into the house after an armed Burt refused to open the door. Hale fired twice, killing Burt. 
"
1182,Woodrow Allen Bush,Anniston - Calhoun County - Alabama,1936,Alabama,"Woodrow Allen Bush, 21, a farm foreman, was killed by Ozie Hicks in 1936 in Calhoun County, Alabama. Woodrow’s father Art Bush shot at a mob that was breaking into his cabin during a search for an unidentified Black person who allegedly molested a white infant.  Bush wounded Ozie Hicks and killed Pat Hicks. Ozie Hicks then shot and killed Woodrow Allen Bush. Legal proceedings ensued. An essay on this case, researched and authored by a CRRJ student, is available on request.
"
1518,Henry A. Bush,Ensley - Jefferson County - Alabama,1941,Alabama,"Henry A. Bush (1922-1941), a farmer, was killed by police officer Horace O. Hicks in Jefferson County, Alabama. Deputy R.F. McDonald, a county warden, suspected Bush of shoplifting and tried to apprehend him. Bush fled and was pursued by Hicks and police officer E.T. Rouse, and Hicks shot him.
"
