ID,Name,Location,YearofDeath,State,CaseAbstract
707,Leon,South Miami - Miami-Dade County - Florida,Unknown,Florida,
260,Edward Allen,Wakulla County - Florida,1931,Florida,"Edward Allen, a Black youth, was killed in 1931 in Wakulla County, Florida. Five white youths allegedly beat him to death after their car and his got into an accident. Robert Caraway was tried as the principal offender; Bud Harris, Jack Crum, C.K. Saunders, and John Saunders were tried as accessories. Outcome unknown."
473,Hosea W. Allen,Tampa - Hillsborough County - Florida,1948,Florida,"Hosea W. Allen was killed in 1948 by Victor Pinella in Tampa, Hillsborough County, Florida. According to the Chicago Defender, Pinella was the white owner of a beer parlor who fatally shot Allen when Allen ordered a bottle of beer. First degree murder charges were dismissed by Justice of the Peace Spicola."
246,Eddie Amos,South Miami - Miami-Dade County - Florida,1944,Florida,"Eddie Amos, 37, was killed in 1944 by police chief George Wiegand in Miami-Dade County, Florida. Amos was shot by Wiegand while fleeing on foot after the police chief had stopped the car in which he was riding with three companions. Trial jury acquitted."
750,Lieutenant Baity,South Miami - Miami-Dade County - Florida,1947,Florida,"Lieutenant Baity (1901-1947), a laborer, was killed by patrolman William Bailey in Miami-Dade County, Florida. Bailey shot Baity, claiming that Baity attacked him with a knife after having been arrested for drunk driving."
344,Fred Baldwin,Chipley - Washington County - Florida,1952,Florida,"Fred Baldwin, a/k/a James L. Couch, a/k/a James Sullivan, age 37, was killed in 1952 by police officers in Chipley, Washington County, Florida. The circumstances are unclear. Baldwin was accused of either rape or burglary or both and was being pursued by a posse of law enforcement officers when he was gunned down.  "
207,Dave Berieum,Liberty County - Florida,1953,Florida,"Dave Berieum (1910 - 1953), a farm laborer and veteran, died in custody in Leon County, Florida. Berieum was arrested on a moonshining charge by state and federal beverage officers W. G. McMullen and J. C. Gerrell. The officers said they had subdued Berieum because he resisted arrest. They took Berieum to the hospital for treatment of head wounds but would neither deny nor confirm that Berieum received the injuries during the arrest. Berieum died in a hospital three days later. "
714,Leroy Bradwell,Midway - Gadsden County - Florida,1946,Florida,"Leroy Bradwell, about 26, a WWII veteran, went missing in 1946 after being arrested at his home by Sheriff Otha Edwards and Deputy Maple in Gadsden County, Florida. Bradwell was arrested without warrant allegedly for writing an obscene letter to a white girl. An FBI investigation later revealed that the letter was written by another man named R. T. Parker, who sought to pin the letter on Bradwell. "
900,Robert Brown,Tampa - Hillsborough County - Florida,1934,Florida,
868,Randell P. Butler,Jacksonville - Duval County - Florida,1931,Florida,"Randell P. Butler, 32, a mail carrier, was killed in 1931 by police officers in Duval County, Florida. In one version of the incident, Butler was sheltering from the rain under the porch of a house in a white neighborhood when a woman who lived next door called the police. In another version of the incident, Butler had made frequent visits to a house owned by a young white woman and some white neighbors called the police when they saw him go into the house that night. When the police arrived, they shot Butler, alleging that he was committing a robbery. "
