ID,Name,Location,YearofDeath,State,CaseAbstract
29,Alfred Adams Jr.,New Orleans - Orleans Parish - Louisiana,1953,Louisiana,"Alfred Adams, Jr., 47, died in 1953 after being held in police custody in New Orleans, Louisiana. Police had arrested and charged Adams with aggravated rape of a child, according to newspaper accounts. According to DOJ records, Adams had told relatives that he had been beaten while in custody. He was admitted to the hospital in a coma and died the next day. The DOJ closed the file in 1953."
1196,Charles Anderson,New Orleans - Orleans Parish - Louisiana,1937,Louisiana,"Charles Anderson, age 17, a laborer, was killed in 1937 by Captain Frank Lannes and Detective William Grosch in New Orleans, Louisiana. Anderson was arrested for alleged attacks on white women and stealing their purses. Lannes and Grosch took Anderson with them when they searched his rooming house for evidence and shot him as he walked down the stairs of the house.  They claimed they shot him because he was trying to flee. An essay on this case, researched and authored by a CRRJ student, is available on request.
"
1255,J. T. Anderson,New Orleans - Orleans Parish - Louisiana,1943,Louisiana,"Private J. T. Anderson was shot and killed in or before 1943 by a Black military police officer “without any notification” in New Orleans, Louisiana. A telegram Anderson’s mother received stated that he was shot while purchasing cigarettes. No other explanation or details surrounding his death were given to the family, according to accounts from Mrs. S. A. Conneill, a friend of Anderson’s mother, in correspondence with the NAACP.
"
430,Henry Anding,Ruston - Lincoln Parish - Louisiana,1952,Louisiana,
1275,Charles Oliver Artis Jr.,Kenner - Jefferson Parish - Louisiana,1952,Louisiana,"Charles Oliver Artis, Jr. (1941-1952), a school child, was allegedly killed while playing with friends by two unknown 15-year-old white boys in Kenner, Jefferson Parish, Louisiana. According to the death certificate, he died of gunshot wounds. An essay on this case, researched and authored by a CRRJ student, is available on request.
"
1186,Woody Barrett,Baton Rouge - East Baton Rouge Parish - Louisiana,1934,Louisiana,"Woody Barrett, a railroad worker was killed in 1934 by white men in Baton Rouge, Louisiana. Barrett was murdered as he was performing his duties as a railroad worker. The NAACP considered his murder one of a rash of murders of Black men working for the Illinois Central Railroad in the 1930’s by white men coveting their jobs.
"
331,Frank Thomas Bates,New Orleans - Orleans Parish - Louisiana,1949,Louisiana,"Frank Thomas Bates (1907-1949), a stevedore, was found dead in Parish Prison in New Orleans, Louisiana. He had been charged in connection with the death of Rev. John F. Neifert. An autopsy showed Bates suffered two broken ribs, discoloration of both eyes, brush burns, cut wrists, ankles and shoulders and bruises on his back. The Orleans Parish Coroner’s office attributed Bates’ death to a heart attack. A grand jury declined to indict anyone in connection with Bates’ death.
"
8,Aaron Boyd Jr.,New Orleans - Orleans Parish - Louisiana,1938,Louisiana,"Aaron Boyd Jr., age 38, a longshoreman and WWI veteran, died on June 17, 1938, in a police station cell in the custody of Sergeant Joseph Murphy in New Orleans, Louisiana. According to newspaper accounts, police claimed that he had injured himself from falling several times while trying to flee from unnamed police officers after allegedly robbing and assaulting a streetcar conductor. After an investigation by Captain Edward Smith, Chief of Detectives John Grosch found no excessive force and declined further action. "
1158,Willie Bragg,Spearsville - Union Parish - Louisiana,1934,Louisiana,"Willie Lee Bragg, a 26-year-old housewife, died in 1925 in Farmville, Union Parish, Louisiana. The death certificate lists tuberculosis as the cause of death, but a DOJ file contains information that she was beaten to death. 
"
286,Elliott Brooks,Gretna - Jefferson Parish - Louisiana,1946,Louisiana,"Elliott Brooks (1912-1946), a laborer, was killed by Police Chief Beauregard Miller in Gretna, Louisiana. According to newspaper accounts, Miller claimed that he had arrested Brooks for prowling, and shot Brooks when he tried to escape. According to the NAACP, Brooks might have had information about Miller’s role in a matter of a missing prisoner. An essay on this case, researched and authored by a CRRJ student, is available on request.
"
947,Roy Cyril Brooks,Gretna - Jefferson Parish - Louisiana,1948,Louisiana,"Roy Cyril Brooks (1905-1948), a fertilizer plant worker, was killed by Patrolman Alvin Bladsacker in Gretna, Louisiana. Brooks and a bus driver got into a dispute over a five-cent bus fare. Bladsacker stepped in, beat Brooks, arrested him, and shot him on the street as he walked him toward the jail. An essay on this case, researched and authored by a CRRJ student, is available on request.
"
1096,William Brown,Torras - Pointe Coupee Parish - Louisiana,1947,Louisiana,"William Brown (1872-1947), a farmer, was killed by Game Warden Charley Ventril in Torras or Lettsworth, Louisiana. Brown had been out squirrel hunting when he was confronted by Ventril, who shot him in the back of the head, claiming self-defense."
1280,Nathional Brown,Iberville Parish - Louisiana,1950,Louisiana,"Owen Lang (1907 – 1950) was found dead after he went with Nathional Brown on a hunting trip on December 30, 1950 in Iberville Parish, Louisiana. A coroner determined that the cause of death for both men was “accidental drowning,” according to newspaper accounts. But an alternative account was to the effect that two men had gone deer hunting with some white men and were killed. Newspaper accounts noted that the bodies of Brown and Lang showed signs of having been shot and beaten to death.

Nathional Brown, a 36-year-old mill worker, was found dead after he went with Owen Lang on a hunting trip on December 30, 1950 in Iberville Parish, Louisiana. A coroner determined that the cause of death for both men was “accidental drowning,” according to newspaper accounts. But an alternative account was to the effect that two men had gone deer hunting with some white men and were killed. Newspaper accounts noted that the bodies of Brown and Lang showed signs of having been shot and beaten to death."
198,Danny Bryant,Covington - Saint Tammany Parish - Louisiana,1948,Louisiana,"Danny Bryant (1911-1948), a laborer, was killed by Night Officer Kensey (or Kinzie) Jenkins in Covington, Louisiana. According to newspaper accounts, Bryant was struck by white men in an all-white hotel lobby for failure to remove his hat in the presence of whites. Jenkins was summoned to the scene and shot Bryant, claiming self-defense. Per death certificate, Bryant died of gunshot wounds to the chest."
872,Raymond Carr,Alexandria - Rapides Parish - Louisiana,1942,Louisiana,"Raymond Carr, a military police officer, was killed in 1942 by state trooper Dalton McCullon in Alexandria, Louisiana. Carr was on duty, policing in the downtown area, when he was knocked down by a state trooper and shot by McCullon. He died four days later in a hospital. A state grand jury declined to proceed against the state officers.
"
157,Chrispon H. Charles Jr.,New Orleans - Orleans Parish - Louisiana,1949,Louisiana,"Chrispon H. Charles Jr. (1929-1949), a WWII Navy veteran, was killed by police officers Emery Landry and Elois Sahuc in New Orleans, Louisiana. His father had called the police for help with his son. The police put Chrispon in the back of their vehicle and shot him to death, claiming he resisted arrest and sought to grab one of their pistols.  A federal investigation was undertaken but no charges were pursued.  An essay on this case, researched and authored by a CRRJ student, is available on request
"
41,Alvin Chavis,Lake Charles - Calcasieu Parish - Louisiana,1943,Louisiana,"Alvin Chavis (1913-1943), a taxi driver, was shot and killed by unknown persons in Iowa, Louisiana. His body was found on the side of a road.
"
1197,Edward Chinn,New Orleans - Orleans Parish - Louisiana,1937,Louisiana,"Edward Chinn, age 33, was killed in 1937 by police in New Orleans, Louisiana. Chinn, suffering from mental illness, was in a highly agitated state in the home of his mother, Matilda Chinn. He had a meat cleaver and was threatening to hurt himself and others. His mother called the police, and a struggle ensued. It is unclear which officer(s) shot Chinn to death, but present were Patrolman M. Duplantier, Detective Michael Padin, Captain Alfred Malone, and Detective William Daniels.
"
1198,Andrew Coycault,Arabi - Saint Bernard Parish - Louisiana,1954,Louisiana,"Andrew Coycault, 28, a fur trapper and veteran, was killed in 1954 by Deputy Al C. Hernandez in St. Bernard Parish, Louisiana. Hernandez had arrested Coycault for unknown reasons. Deputy Chief Sidney Torres claimed that Coycault was shot while resisting arrest. An essay on this case, researched and authored by a CRRJ student, is available on request.
"
1199,Gladstone Vance Crosier,New Orleans - Orleans Parish - Louisiana,1943,Louisiana,"Gladstone Vance Crosier (1914-1943), a laborer, was killed by Patrolman Philip Englebrecht in New Orleans, Louisiana. Crosier was a passenger in a truck with two white men helping them to locate the French Market. The truck hit a parked car, and an argument with the car owner ensued. Crosier fled the scene and was chased by Englebrecht in a private (not police) car. Englebrecht apprehended Crosier, put him in the car, drove away, and shot Crosier in the head. 
"
594,Jessie Dangerfield,Bellevue - Bossier Parish - Louisiana,1948,Louisiana,"Jessie Dangerfield (1915-1948), a public sector worker, was killed by Clyde Biggs, Jr., in Bellevue, Louisiana. "
