ID,Name,Location,YearofDeath,State,CaseAbstract
125,Savalus Ben,Brenham - Washington County - Texas,1930,Texas,"Savalus Ben, age 65, a farm hand, was killed in 1930 by Travis Smith in Washington County, Texas. Smith found his wife dead in their home and proceeded to shoot Ben, one of his farm hands. Smith stated that he believed Ben killed his wife. Smith was not charged with the death of Ben..
"
607,Joe Blackwell,Paris - Lamar County - Texas,1952,Texas,"Joe Blackwell (1897-1952), a farmer, was killed by Curtis Hill (or Harris) in Paris, Lamar County, Texas. Hill claimed that Blackwell owed him a debt of $4.02 on an ice bill. Hill went to Blackwell’s house to collect, and Blackwell paid him half the amount. Hill returned the next day to collect the remainder, and when he saw Blackwell sitting on his porch holding a shotgun, Hill pulled his own gun and fatally shot Blackwell. Grand jury indicted. Trial jury acquitted.
"
856,Preston Bouldin,San Antonio - Bexar County - Texas,1953,Texas,"Preston Bouldin, 21, a police informer, was found dead near railroad tracks in 1953 in San Antonio, Bexar County, Texas. Bouldin’s face was covered in blood, suggesting he had been struck in the head, and his “spine was severed at the base of the skull by a blunt instrument.” Several residents acquainted with Bouldin told investigators they saw him gambling with friends hours before his body was discovered. A 2009 FBI investigation was ultimately closed as the investigators determined there was “insufficient evidence to establish that Bolden’s death was a racially-motivated homicide [and] insufficient evidence to establish any federal jurisdiction.”
"
120,Carter O. Boyd,Houston - Harris County - Texas,1950,Texas,"Carter Owens Boyd (1915 - 1950), a laborer and disabled WWII veteran, was killed by Wash J. Howard, Jr., a deputy constable in Houston, Texas. Howard shot Boyd twice in the back following a minor traffic accident. Boyd was traveling in his vehicle with his 15-year-old son and his wife; the family was inspecting a lot they hoped to purchase when the accident occurred. Boyd’s employers complained to the local district attorney about the killing. Howard was charged with murder. Trial jury convicted.
"
79,Berry Branch Sr.,Houston - Harris County - Texas,1946,Texas,"Berry Branch Sr. (1886 - 1946), a barber, was killed by L. E. Linville, a bus driver, in Houston, Texas. When a 17-year-old boy was reproached by the bus driver for failing to pay his fair, Branch attempted to pay the boy’s fare.  Branch was killed by Linville when he stepped forward to pay the 17-year-old’s fair.  Branch’s slaying sparked protests against bus drivers carrying guns. Linville was initially charged with assault to murder, but it is unclear what the ultimate disposition of the case was.
"
39,Alonza Brooks Jr.,Marshall - Harrison County - Texas,1946,Texas,"Alonza Brooks, Jr., age 25, a veteran, was killed in 1946 by unknown persons in Marshall, Harrison County, Texas. Three days after driving off to visit friends, his body was found in the woods with blows to the neck and evidence of strangling. Richard F. Gordon, 31, also a veteran, was lynched at the same time. It is unclear if the two deaths are related.
"
525,John Brown,Otey - Brazoria County - Texas,1937,Texas,"John Brown (1900-1937) died in Ramsay Farm Camp, a state prison, in Brazoria County, Texas. According to the death certificate, Brown died from drinking poison. According to a letter from prisoners to the NAACP, Brown, who was feeling sick, was handcuffed and chained and then whipped to death by prison tender Booker Smith.
"
792,Memphis David Carter,Longview - Gregg County - Texas,1951,Texas,"Memphus David Carter, age 35, industrial worker, was killed in 1953 by Ralph Ferguson, a deputy sheriff in Gregg County, Texas. The deputy sheriff shot Carter allegedly because Carter did not know the whereabouts of Eural Davis, whom the officer was looking for. Grand jury declined to indict.
"
600,James Charles Jr.,Harrison County - Texas,1942,Texas,"James Charles, Jr. (1902-1942), an employee at a government plant in Karnack, Texas, was killed by unknown assailants near Karnack in Harrison County, Texas. Investigations by sheriff J.H. Wilson and deputy sheriffs C.H. Wells and J.W. Hall found that the assailants came to Charles’s home, called him outside, and then shot him. It does not appear that any arrests were made. 
"
248,Eddie Collins,Nacogdoches - Nacogdoches County - Texas,1954,Texas,"Eddie Collins (1887-1954), a laborer, was killed by Jesse Jenkins in Nacogdoches County, Texas. Jenkins allegedly fatally shot Collins on East Main Street over a $6.00 debt. Jenkins was held on $1,500 bond. Grand jury outcome unknown.
"
296,Ernest Collins,Columbus - Colorado County - Texas,1935,Texas,"Bennie Mitchell, Jr. (1919-1935), a farmer, was killed by a mob in Colorado County, Texas. Mitchell and Ernest Collins (1919-1935) were arrested for allegedly murdering Geraldine Kollman, 19. They never received a trial, as a mob of hundreds took them from the police and hanged them.

Ernest Collins (1919-1935), a farmer, was killed by a mob in Colorado County, Texas. Collins and Bennie Mitchell, Jr. (1919-1935) were arrested for allegedly murdering Geraldine Kollman, 19. They never received a trial, as a mob of hundreds took them from the police and hanged them.
"
156,Cherry Connally,Waxahachie - Ellis County - Texas,1939,Texas,"Cherry Connally, age 25, was killed in 1939 by Sheriff Joe Roy in the Ellis County jail in Ellis County, Texas. Connally allegedly attempted to escape from the jail and was recaptured. On his return, as one newspaper reported it, Sheriff Roy “administer[ed] what his revolver one of the most severe and inhumane beatings known to this section.”  According to the story, Sheriff Roy then decided to kill Connally to put him out of his misery and to cover up his actions.  After the killing, a newspaper reported that “hundreds” of people, both black and white, came to view Connally’s body at the undertaker “in the negro section.” Grand jury returned a no-bill against Sheriff Roy.
"
128,Charley Curry,Dallas - Dallas County - Texas,1947,Texas,"Charley Curry (1924 - 1947), a construction worker and a veteran, was killed by policeman Nolan O. Ray in Dallas, Texas. Ray, who was out of uniform and appears to have been off-duty at the time of the incident, shot Curry on a Dallas trolley bus.  Ray told all the Black passengers on the bus to take their hands out of their pockets.  According to police reports, Curry was sitting towards the back of the trolley and some witnesses claimed that Curry was asleep at the time of Ray’s demand. When Curry did not take his hands out of his pocket Ray shot him in the face.  He was killed instantly. Trial jury acquitted Ray of murder without malice.
"
1253,Marcell Dixson,Temple - Bell County - Texas,1946,Texas,"Thomas Howell (1925 - 1946), a military police officer, was killed in Bell County, Texas. Howell and another military police officer, Marcell Dixson, were allegedly killed in an auto accident. However, some soldiers were convinced that they were killed either by civilians or civilian police.

Marcell Dixson, a military police officer, was killed in 1946 in Bell County, Texas. Dixson and another military police officer, Thomas Howell, were allegedly killed in an auto accident. However, some soldiers believed that they were killed either by civilians or civilian police.
"
726,Levi Dorsey,Orange - Orange County - Texas,1951,Texas,"Levi Dorsey, 27, was killed in 1951 in the jail in Orange County, Texas.  Involved were Police Chief Alvin Keown, his assistant Henry Stanfield and two patrolmen, Osval Alvie Folsom and George Powell. Dorsey had been arrested on a burglary charge.  After the beating, Dorsey was transported to Louisiana, where he was picked up by a deputy sheriff of Beauregard Parish and taken to a local hospital.  At a federal trial, the nurse who examined Dorsey testified his face was swollen, he was spitting blood, and he was semiconscious and delirious. The federal jury acquitted the four Orange County officers.
"
493,Isaiah Edwards,Mont Belvieu - Chambers County - Texas,1931,Texas,"Isaiah Edwards, age 19, was killed in 1931 likely by a group of five men posing as law enforcement officers. Edwards was in jail on death row for the murder of Constable Tom Beyette. The five men entered the jail and abducted Edwards. Edwards was later found shot to death in the woods.
"
808,Mott Flournoy,Lufkin - Angelina County - Texas,1941,Texas,"Mott Flournoy (1871-1941), a farmer, was killed by Roy Morehouse in Lufkin, Angelina County, Texas. Flournoy was on trial for the rape and murder of Morehouse’s wife. At the trial in the Angelina County courthouse, Morehouse fatally stabbed Flournoy.
"
936,Roosevelt Furr,Livingston - Polk County - Texas,1947,Texas,"Roosevelt Furr (1905-1947), a farmer and WWII veteran, died in Livingston, Polk County, Texas. Furr was in police custody having been arrested for drunk driving in October 1947 by Sheriff L.D. Kimball. Kimball claimed Furr was released after paying a fine. Furr’s remains were found three months later; his death certificate called it suicide. Furr’s brother Alex Furr disputed this, telling the NAACP that Furr never came home after Kimball allegedly released him. The family suspected police killed him.
"
1271,Otis Lawrence Gardner,El Paso - El Paso County - Texas,1943,Texas,"Otis Lawrence Gardner (1922-1943), a U.S. Army soldier, was killed by a white sentry at Fort Bliss in El Paso, Texas. The fatal shooting occurred amid rumors of a “race riot” in downtown El Paso.
"
1418,Otis Gardner,El Paso - El Paso County - Texas,1943,Texas,"Otis Gardner (1922-1943), a U.S. Army soldier, was killed by a white sentry at Fort Bliss in El Paso, Texas. The fatal shooting occurred amid rumors of a “race riot” in downtown El Paso.
"
1214,Dorothy Godley,Rosharon - Brazoria County - Texas,1941,Texas,"Dorothy Godley (1928-1941), a schoolgirl, was murdered by C.V. Barnes in Rosharon, Brazoria County, Texas. Godley was in a motor vehicle with her mother Tea Godley and stepfather Major Muse traveling to visit family. The road they were on became obstructed, and as Muse tried turning the vehicle around, Barnes approached them with a rifle and fired, killing Dorothy. Grand jury indicted. Trial jury convicted. An essay on this case, researched and authored by a CRRJ student, is available on request.
"
884,Richard Gordon Jr.,Marshall - Harrison County - Texas,1946,Texas,"Richard Gordon, Jr. (1915-1946), a laborer and WWII veteran, was killed by unknown persons in Marshall, Harrison County, Texas. The death certificate says Gordon was struck by an automobile. Newspapers report that a witness who saw his body said that his throat had been cut and his head and body were badly bruised. Days before his death, Gordon had been fired for allegedly stealing from his white employer.  
"
441,Henry Gray,Terrell - Kaufman County - Texas,1945,Texas,"Henry Gray, 86, a farmer, was killed in 1945 Kaufman County, Texas. Henry Gray’s grandson, John L. Gray, wrote to the NAACP in 1947 stating that his grandfather had been lynched after having an argument with a white man. He explained that his grandfather had argued with a white man over the division of one hundred chickens that Henry Gray had raised on the oral agreement that the chicken would be divided when they were ready for market. John Gray listed Henry Gray’s age at death as eighty-six years old. However, Henry Gray’s death certificate stated that he was in his 60s when he died.  The date of death on the death certificate is December 19, 1945.  The manner of death was described on the death certificate as “by hanging self.”
"
209,David Gregory,Voth - Jefferson County - Texas,1933,Texas,"David Gregory, age 25, was killed in 1933 by a law enforcement posse in Kountze, Hardin County, Texas. Accused of murdering Nellie Williams Brockman, 30, a farmer’s wife, Gregory was killed by a posse for allegedly resisting arrest. A mob seized his body and mutilated and burned it.
"
759,Mayse Grey,Carthage - Panola County - Texas,1936,Texas,"Mayse Grey (Mayce Gray), 42, a farmer, was killed in 1936 by local officers in Panola County, Texas. Newspaper records indicate he was wanted by police for crashing a vehicle and resisted arrest. He was out on parole for driving while intoxicated. Records also indicate he barricaded himself in his home and fired at officers. His father was also killed by police several years prior. 
"
